name,lat,lng,neighborhood,address,website_url
,52.4860637,13.2961907,,"Warmbrunner Str. 52, 14193 Berlin",
_innenraum,52.5254124,13.4436326,,"Landsberger Allee 61, 10249 Berlin",
"– Brennpunkt „Gärten der Welt“ (postalisch: Blumberger Damm 44, 12685 Berlin-MaHe)",52.5381027,13.5696215,,"Blumberger Damm 44, 12685, Berlin",
://about blank,52.5025323,13.4663728,,"Markgrafendamm 24c, Berlin",
.,52.4940671,13.4260049,Berlin,"Maybachufer 16, 12047, Berlin",
"„East Side Gallery“, Mühlenstraße",52.5651566,13.4069856,,"Mühlenstr. 70, 10243, Berlin",
"„ocelot, not just another bookstore“",52.5275,13.3985,,,
"""Zeit ist Knapp"" im Steglitzer Kreisel",52.5004388,13.5224249,Steglitz-Zehlendorf,"Schloßstraße 83, 12165, Berlin",
100 Gramm Bar,52.5306019,13.4017406,,,
2RadLaden,52.4532747,13.1425952,Spandau,"Sakrower Landstraße 4, 14089, Berlin",
800A,52.553832,13.3873281,,,
8MM,52.5296,13.4098,Berlin,"Schönhauser Allee 177b, 10119 Berlin",
8mm Bar,52.5312243,13.4115684,,,
90mil,52.5124511,13.4255606,Berlin,"Holzmarktstrasse 19-23, 10243 Berlin",
A Livraria & MondoLibro,52.5293382,13.3964537,Mitte,"Torstr. 159, 10115, Berlin",
A-Trane,52.5073394,13.3200854,,"Bleibtreustr. 1, 10623 Berlin",
Abgeordnetenhaus von Berlin,52.5078666,13.3815043,Mitte,"Niederkirchnerstraße 5, 10117, Berlin",
Ableton AG,52.5295971,13.4103375,,"Schönhauser Allee 6/7, 10119 Berlin",
Acker e.V.,52.4669474,13.36592,,"Bessemerstraße 2-14, 12103 Berlin",
Acker Stadt Palast,52.5298863,13.397164,,"Ackerstr. 169, 10115 Berlin",
Ackerstraße 116A,52.53758,13.38474,,"Ackerstraße 116A, 13355 Berlin",
Ackerstraße 12,52.5308991,13.3970292,,"Ackerstraße 12, 10115 Berlin",
Acud Macht NEU,52.5333,13.401,Berlin,"Veteranenstraße 21, 10119 Berlin, Germany",
ACUD Theater,52.5334318,13.4009767,,,
adesso SE,52.5024891,13.410023,,"Prinzenstraße 34, 10969 Berlin",
Admiralspalast,52.5207714,13.3889021,,"Friedrichstraße 101, Berlin",
Adolf-Reichwein-Bibliothek (im Rathaus Schmargendorf),52.4775843,13.2878878,Charlottenburg-Wilmersdorf,"Berkaer Str. 7, 14199, Berlin",
ÆDEN,52.4979653,13.4499169,Berlin,"Schleusenufer 2, 10997 Berlin",
ahorn,52.4872967,13.4255004,,"Hermannplatz 8, 10967 Berlin",
Akademie der Künste,52.5154125,13.379618,,"Hanseatenweg 10, Berlin",
