name,lat,lng,neighborhood,address,website_url
TiER,52.4893,13.4293,Neukölln,"Weserstraße 42, 12045 Berlin",
Ä,52.4895,13.4290,Neukölln,"Weserstraße 40, 12045 Berlin",
Beuster Bar,52.4900,13.4280,Neukölln,"Weserstraße 32, 12045 Berlin",
Vin Aqua Vin,52.4876,13.4380,Neukölln,"Weserstraße 204, 12047 Berlin",
Thelonious Bar,52.4877,13.4378,Neukölln,"Weserstraße 202, 12047 Berlin",
Wax On,52.4875,13.4383,Neukölln,"Weserstraße 208, 12047 Berlin",
Silver Future,52.4876,13.4381,Neukölln,"Weserstraße 206, 12047 Berlin",
Ratzeputz,52.4883,13.4349,Neukölln,"Weserstraße 182, 12047 Berlin",
Ramones Museum Berlin (Bar 19:77),52.4880,13.4362,Neukölln,"Weserstraße 159, 12045 Berlin",
Theater im Keller Berlin,52.4874,13.4388,Neukölln,"Weserstraße 211, 12047 Berlin",
Zum Krokodil,52.4903,13.4275,Neukölln,"Weserstraße 19, 12045 Berlin",
Wolf Kino,52.4891,13.4304,Neukölln,"Weserstraße 59, 12045 Berlin",
Dots,52.4881,13.4358,Neukölln,"Weserstraße 191, 12045 Berlin",
Venue Café & Bistro,52.4884,13.4345,Neukölln,"Weserstraße 172, 12045 Berlin",
Companion Tea and Coffee,52.4885,13.4341,Neukölln,"Weserstraße 166, 12045 Berlin",
Stella,52.4885,13.4341,Neukölln,"Weserstraße 166, 12045 Berlin",
Backhaus Projects,52.4886,13.4336,Neukölln,"Weserstraße 168, 12045 Berlin",https://www.backhausprojects.com/
Wesereck,52.4871,13.4315,Neukölln,"Hobrechtstraße 71, 12047 Berlin",
Nathanja & Heinrich,52.4879,13.4239,Neukölln,"Weichselstraße 44, 12045 Berlin",
Geist im Glas,52.4877,13.4259,Neukölln,"Lenaustraße 27, 12047 Berlin",https://www.geistimglas.de
Mondhügel Bar,52.4881,13.4249,Neukölln,"Bürknerstraße 6, 12047 Berlin",
Bar Brutal 54,52.4882,13.4310,Neukölln,"Hobrechtstraße 54, 12047 Berlin",
Le Balto,52.4888,13.4302,Neukölln,"Hobrechtstraße 28, 12047 Berlin",
Dschungel,52.4887,13.4272,Neukölln,"Friedelstraße 12, 12047 Berlin",
ORi,52.4892,13.4263,Neukölln,"Friedelstraße 8, 12047 Berlin",
Frieda Schlamassel,52.4884,13.4279,Neukölln,"Friedelstraße 31, 12047 Berlin",
The Rad Natural Wine Bar,52.4884,13.4281,Neukölln,"Friedelstraße 30, 12047 Berlin",
Damensalon,52.4872,13.4292,Neukölln,"Reuterstraße 39, 12047 Berlin",
Truffle Pig,52.4869,13.4298,Neukölln,"Reuterstraße 47, 12047 Berlin",
Loretta Bar,52.4870,13.4296,Neukölln,"Reuterstraße 45, 12047 Berlin",
Vater Bar,52.4875,13.4285,Neukölln,"Reuterstraße 24, 12047 Berlin",
